date,direction,prev_high,prev_low,hit,hit_time_et,hit_session,minutes_from_open,overshoot_points,overshoot_pct,opposite_hit,day_range_pct,atr_14_pct,range_vs_atr,inside_bar
2021-03-16,LONG,13127.5,12862.5,True,2021-03-16 01:38:00,OTHER,458.0,159.75,60.28,False,1.6005,2.636,0.6072,False
2021-04-01,LONG,13158.0,12860.25,True,2021-04-01 02:32:00,LONDON,512.0,214.25,71.96,False,1.8994,1.9427,0.9777,False
2021-04-02,LONG,13372.25,13118.5,True,2021-04-02 08:30:00,OTHER,870.0,20.75,8.18,False,0.3784,1.7917,0.2112,False
2021-04-06,LONG,13622.25,13311.25,True,2021-04-06 11:10:00,OTHER,1030.0,32.75,10.53,False,0.9641,1.5911,0.606,False
2021-04-08,LONG,13707.75,13512.5,True,2021-04-08 01:03:00,OTHER,423.0,134.0,68.63,False,1.1434,1.4982,0.7632,False
2021-04-09,LONG,13841.75,13684.0,False,,,,,,True,1.3866,1.3923,0.9959,False
2021-04-14,LONG,13994.0,13772.75,True,2021-04-14 04:21:00,LONDON,621.0,35.0,15.82,False,1.8556,1.2665,1.4652,False
2021-05-25,LONG,13686.0,13395.75,True,2021-05-25 01:34:00,OTHER,454.0,52.75,18.17,False,0.9631,1.9889,0.4842,False
2021-06-14,LONG,14028.75,13998.0,True,2021-06-14 06:38:00,OTHER,758.0,126.5,411.38,False,1.4025,0.9944,1.4105,False
2021-06-15,LONG,14155.25,13957.0,False,,,,,,False,1.0937,1.0627,1.0291,True
2021-07-07,LONG,14797.75,14625.25,True,2021-07-07 03:04:00,LONDON,544.0,86.0,49.86,False,1.0652,0.8172,1.3034,False
2021-08-10,LONG,15145.5,15042.5,True,2021-08-10 04:04:00,LONDON,604.0,11.75,11.41,False,1.082,1.0222,1.0585,False
2021-08-29,LONG,15443.75,15280.0,True,2021-08-29 19:35:00,ASIA,1535.0,12.0,7.33,False,0.2315,0.9588,0.2415,False
2021-08-31,LONG,15617.75,15431.0,True,2021-08-31 00:51:00,OTHER,411.0,59.5,31.86,False,1.0217,1.0534,0.9698,False
2021-10-20,LONG,15428.25,15280.75,True,2021-10-20 09:30:00,NYAM,930.0,18.25,12.37,False,0.8313,1.4162,0.587,False
2021-10-26,LONG,15583.5,15322.25,True,2021-10-26 02:18:00,LONDON,498.0,117.5,44.98,False,1.2743,1.2264,1.0391,False
2021-10-31,LONG,15864.75,15595.5,True,2021-10-31 18:00:00,OTHER,1440.0,44.25,16.43,False,0.3402,1.0627,0.3201,False
2021-11-03,LONG,15980.25,15851.75,True,2021-11-03 05:15:00,OTHER,675.0,206.75,160.89,False,1.5581,1.0673,1.4599,False
2021-11-04,LONG,16187.0,15935.25,True,2021-11-04 04:08:00,LONDON,608.0,189.0,75.07,False,1.3452,1.0872,1.2373,False
2021-11-05,LONG,16376.0,16156.25,True,2021-11-05 05:38:00,OTHER,698.0,72.5,32.99,False,0.9575,1.0993,0.871,False
2021-12-12,LONG,16335.75,16133.75,True,2021-12-12 18:00:00,OTHER,1440.0,70.75,35.02,False,0.5124,1.9192,0.267,False
2022-02-09,LONG,14820.0,14467.5,True,2022-02-09 03:45:00,LONDON,585.0,248.0,70.35,False,2.0673,2.852,0.7249,False
2022-02-10,LONG,15068.0,14758.0,False,,,,,,True,3.2738,2.9161,1.1227,False
2022-03-01,LONG,14292.25,13808.0,True,2022-03-01 02:06:00,LONDON,486.0,35.5,7.33,False,3.0404,3.5549,0.8553,False
2022-03-25,LONG,14788.5,14433.5,True,2022-03-25 00:57:00,OTHER,417.0,52.0,14.65,False,1.8166,2.4148,0.7523,False
2022-03-29,LONG,14997.0,14658.75,True,2022-03-29 01:34:00,OTHER,454.0,271.75,80.34,False,2.0108,2.2066,0.9112,False
2022-03-30,LONG,15268.75,14962.75,False,,,,,,False,1.5499,2.1269,0.7287,True
2022-04-05,LONG,15174.5,14825.0,True,2022-04-05 03:02:00,LONDON,542.0,23.5,6.72,False,2.8695,1.887,1.5206,False
2022-08-04,LONG,13310.25,12892.75,True,2022-08-04 06:04:00,OTHER,724.0,74.25,17.78,False,1.4938,2.0975,0.7122,False
2022-08-05,LONG,13384.5,13184.75,False,,,,,,True,2.1923,2.1265,1.0309,False
2023-01-08,LONG,11165.75,10751.0,True,2023-01-08 23:34:00,ASIA,1774.0,12.25,2.95,False,0.49,2.2567,0.2171,False
2023-01-09,LONG,11178.0,11123.25,True,2023-01-09 04:44:00,LONDON,644.0,207.5,379.0,False,2.3799,2.2987,1.0353,False
2023-01-12,LONG,11492.75,11239.75,True,2023-01-12 07:57:00,OTHER,837.0,87.0,34.39,False,2.5127,2.162,1.1622,False
2023-02-02,LONG,12559.75,12055.25,True,2023-02-02 03:27:00,LONDON,567.0,390.0,77.3,False,3.4906,2.1344,1.6354,False
2023-02-08,LONG,12818.5,12459.25,False,,,,,,False,2.3516,2.1606,1.0884,True
2023-03-27,LONG,12961.25,12902.5,True,2023-03-27 01:28:00,OTHER,448.0,23.25,39.57,False,1.7097,2.0977,0.815,False
2023-05-16,LONG,13480.0,13351.5,True,2023-05-16 03:38:00,LONDON,578.0,74.5,57.98,False,0.9489,1.147,0.8273,False
2023-05-17,LONG,13554.5,13426.25,True,2023-05-17 11:18:00,OTHER,1038.0,114.5,89.28,False,1.4274,1.1797,1.2099,False
2023-05-18,LONG,13669.0,13474.25,True,2023-05-18 04:05:00,LONDON,605.0,291.25,149.55,False,2.3602,1.2091,1.9521,False
2023-05-19,LONG,13960.25,13631.5,False,,,,,,False,0.8489,1.1382,0.7459,True
2023-06-02,LONG,14528.25,14252.0,True,2023-06-02 04:56:00,LONDON,656.0,99.5,36.02,False,1.0934,1.3943,0.7842,False
2023-06-04,LONG,14627.75,14468.25,False,,,,,,False,0.4594,1.2752,0.3603,True
2023-06-09,LONG,14526.75,14256.75,True,2023-06-09 07:47:00,OTHER,827.0,160.75,59.54,False,1.5601,1.4034,1.1116,False
2023-06-13,LONG,14871.25,14577.75,True,2023-06-13 00:00:00,OTHER,360.0,280.0,95.4,False,1.2468,1.311,0.951,False
2023-06-16,LONG,15441.0,15066.0,True,2023-06-16 08:33:00,OTHER,873.0,34.5,9.2,False,1.4182,1.4793,0.9587,False
2023-06-23,LONG,15238.0,14964.0,False,,,,,,False,1.2672,1.4408,0.8795,True
2023-06-25,LONG,15176.0,14985.25,False,,,,,,False,0.3956,1.3372,0.2959,True
2023-07-18,LONG,15882.75,15673.25,True,2023-07-18 11:51:00,OTHER,1071.0,147.0,70.17,False,1.859,1.0349,1.7963,False
2023-07-19,LONG,16029.75,15733.0,True,2023-07-19 09:31:00,NYAM,931.0,33.0,11.12,False,1.3882,1.1014,1.2604,False
2023-08-29,LONG,15126.5,14975.75,True,2023-08-29 01:13:00,OTHER,433.0,341.5,226.53,False,2.7062,1.7658,1.5326,False
2023-08-30,LONG,15468.0,15049.75,True,2023-08-30 09:57:00,NYAM,957.0,64.0,15.3,False,1.0992,1.6997,0.6467,False
2023-10-10,LONG,15237.75,14949.5,True,2023-10-10 04:30:00,LONDON,630.0,145.75,50.56,False,1.3843,1.7161,0.8067,False
2023-10-12,LONG,15431.0,15253.0,True,2023-10-12 02:01:00,LONDON,481.0,37.75,21.21,False,1.6473,1.7266,0.9541,False
2023-10-16,LONG,15187.5,15120.0,True,2023-10-16 09:31:00,NYAM,931.0,149.25,221.11,False,1.6613,1.6689,0.9954,False
2023-11-08,LONG,15412.25,15176.0,True,2023-11-08 09:35:00,NYAM,935.0,5.25,2.22,False,0.8506,1.4684,0.5792,False
2023-11-12,LONG,15612.75,15207.25,False,,,,,,False,0.5914,1.3132,0.4503,True
2023-11-15,LONG,15933.0,15552.0,True,2023-11-15 00:29:00,OTHER,389.0,116.5,30.58,False,1.4226,1.4118,1.0077,False
2023-11-21,LONG,16122.5,15837.25,False,,,,,,False,1.2632,1.22,1.0354,True
2023-11-29,LONG,16086.5,15945.25,True,2023-11-29 03:39:00,LONDON,579.0,122.0,86.37,False,1.2146,1.019,1.1919,False
2023-12-22,LONG,16970.25,16815.0,True,2023-12-22 08:30:00,OTHER,870.0,71.25,45.89,False,0.8843,1.1856,0.7459,False
2023-12-26,LONG,17028.75,16964.5,True,2023-12-26 02:05:00,LONDON,485.0,82.5,128.4,False,0.7405,1.0465,0.7076,False
2023-12-27,LONG,17111.25,16984.75,True,2023-12-27 09:30:00,NYAM,930.0,44.5,35.18,False,0.5848,1.0578,0.5529,False
2023-12-28,LONG,17155.75,17055.5,True,2023-12-28 02:26:00,LONDON,506.0,9.5,9.48,False,0.5119,1.0028,0.5105,False
2024-02-08,LONG,17875.5,17629.75,True,2024-02-08 10:49:00,NYAM,1009.0,21.0,8.55,False,0.5836,1.2207,0.4781,False
2024-02-11,LONG,18071.0,17860.0,False,,,,,,False,0.2261,1.1148,0.2028,True
2024-03-01,LONG,18132.0,17826.0,True,2024-03-01 01:08:00,OTHER,428.0,240.75,78.68,False,1.8735,1.1947,1.5682,False
2024-03-03,LONG,18372.75,18029.5,False,,,,,,False,0.2125,1.1371,0.1869,True
2024-03-08,LONG,18360.0,17915.75,True,2024-03-08 08:31:00,OTHER,871.0,76.5,17.22,False,2.3482,1.3313,1.7639,False
2024-05-15,LONG,18438.25,18165.5,True,2024-05-15 08:30:00,OTHER,870.0,300.5,110.17,False,1.8457,1.2381,1.4908,False
2024-05-16,LONG,18738.75,18393.0,True,2024-05-16 10:55:00,NYAM,1015.0,22.0,6.36,False,0.6836,1.117,0.612,False
2024-05-21,LONG,18794.5,18635.25,True,2024-05-21 15:35:00,OTHER,1295.0,29.5,18.52,False,0.7762,0.8332,0.9315,False
2024-05-28,LONG,18956.0,18848.25,True,2024-05-28 04:14:00,LONDON,614.0,24.5,22.74,False,0.8525,0.9791,0.8707,False
2024-09-19,LONG,19900.0,19558.0,True,2024-09-19 02:25:00,LONDON,505.0,303.0,88.6,False,1.7966,1.6633,1.0802,False
2024-09-23,LONG,20164.0,19996.25,False,,,,,,True,1.01,1.4204,0.7111,False
2024-09-26,LONG,20370.5,20064.25,True,2024-09-26 00:35:00,OTHER,395.0,167.5,54.69,False,1.7225,1.4766,1.1665,False
2024-12-17,LONG,22152.5,21784.25,False,,,,,,False,1.0007,1.0259,0.9755,True
2025-01-22,LONG,21876.75,21525.75,True,2025-01-22 03:19:00,LONDON,559.0,216.75,61.75,False,1.1565,1.5843,0.73,False
2025-02-14,LONG,22147.0,21753.0,True,2025-02-14 00:02:00,OTHER,362.0,78.0,19.8,False,0.8219,1.6591,0.4954,False
2025-03-24,LONG,20139.0,20050.5,True,2025-03-24 02:52:00,LONDON,532.0,270.5,305.65,False,1.5414,2.0351,0.7574,False
2025-03-25,LONG,20409.5,20096.0,True,2025-03-25 07:51:00,OTHER,831.0,127.25,40.59,False,1.1902,2.0102,0.5921,False
2025-03-26,LONG,20536.75,20293.0,False,,,,,,True,2.4586,1.8609,1.3212,False
2025-04-14,LONG,19250.0,18931.5,True,2025-04-14 09:27:00,OTHER,927.0,6.0,1.88,False,2.7414,5.3693,0.5106,False
2025-05-04,LONG,20276.75,19864.0,False,,,,,,False,1.0483,2.2997,0.4558,True
2025-05-12,LONG,20547.25,20376.75,True,2025-05-12 01:42:00,OTHER,462.0,448.75,263.2,False,2.2812,1.8226,1.2516,False
2025-05-13,LONG,20996.0,20520.5,True,2025-05-13 08:30:00,OTHER,870.0,350.5,73.71,False,2.4827,1.9075,1.3016,False
2025-05-14,LONG,21346.5,20818.0,True,2025-05-14 02:57:00,LONDON,537.0,73.0,13.81,False,0.8478,1.835,0.462,False
2025-05-15,LONG,21419.5,21238.25,True,2025-05-15 11:22:00,OTHER,1042.0,110.25,60.83,False,1.5778,1.8417,0.8567,False
2025-06-03,LONG,21576.25,21163.0,True,2025-06-03 09:30:00,NYAM,930.0,183.5,44.4,False,1.6628,1.6792,0.9902,False
2025-06-04,LONG,21759.75,21399.25,True,2025-06-04 06:08:00,OTHER,728.0,43.25,12.0,False,0.7448,1.5793,0.4716,False
2025-06-08,LONG,21873.5,21601.5,False,,,,,,False,0.4818,1.5366,0.3135,True
2025-06-09,LONG,21820.75,21716.0,True,2025-06-09 07:37:00,OTHER,817.0,152.5,145.58,False,1.1133,1.4383,0.774,False
2025-06-10,LONG,21973.25,21729.0,True,2025-06-10 15:04:00,OTHER,1264.0,29.5,12.08,False,1.2359,1.4373,0.8599,False
2025-06-16,LONG,21727.5,21501.75,True,2025-06-16 01:28:00,OTHER,448.0,272.0,120.49,False,1.5078,1.3691,1.1013,False
2025-07-24,LONG,23422.75,23146.75,True,2025-07-24 13:15:00,PM,1155.0,19.0,6.88,False,0.6125,0.9339,0.6558,False
2025-07-28,LONG,23566.5,23504.0,True,2025-07-28 01:27:00,OTHER,447.0,18.75,30.0,False,0.6308,0.8432,0.748,False
2025-07-31,LONG,23800.75,23356.5,True,2025-07-31 00:22:00,OTHER,382.0,44.25,9.96,False,2.6325,1.016,2.5911,False
2025-09-21,LONG,24888.0,24655.0,False,,,,,,False,0.1981,0.8854,0.2238,True
2025-09-23,LONG,25027.25,24748.75,False,,,,,,False,0.9884,0.8821,1.1205,True
2025-10-06,LONG,25099.0,24995.0,True,2025-10-06 00:30:00,OTHER,390.0,153.75,147.84,False,0.8238,0.898,0.9173,False
2025-10-09,LONG,25394.0,25026.25,False,,,,,,False,0.8176,0.9747,0.8388,True
2025-10-24,LONG,25330.0,24937.0,True,2025-10-24 00:00:00,OTHER,360.0,240.75,61.26,False,0.9839,1.7864,0.5508,False
2025-10-26,LONG,25570.75,25319.75,True,2025-10-26 18:00:00,OTHER,1440.0,202.25,80.58,False,0.2834,1.7844,0.1588,False
2025-10-27,LONG,25773.0,25700.0,True,2025-10-27 01:11:00,OTHER,431.0,245.75,336.64,False,1.0228,1.5043,0.6799,False
2025-10-28,LONG,26018.75,25753.0,True,2025-10-28 08:19:00,OTHER,859.0,234.0,88.05,False,1.1802,1.3919,0.8479,False
2025-10-29,LONG,26252.75,25943.0,True,2025-10-29 01:11:00,OTHER,431.0,146.25,47.22,False,1.3259,1.393,0.9518,False
